arch,encoder_name,pretrained,val_dice,val_iou,val_loss
DeepLabV3+,MobileOne-S3,False,0.8293015360832214,0.7187308669090271,0.1660553514957428
DeepLabV3+,MobileOne-S3,True,0.9140224456787108,0.8535637259483337,0.0847321301698684
DeepLabV3+,mobileone_s4,False,0.8280615210533142,0.7177901864051819,0.1670312136411667
DeepLabV3+,mobileone_s4,True,0.9165735840797424,0.8598495125770569,0.0856356024742126
DeepLabV3+,ResNet18,False,0.925398886203766,0.8710624575614929,0.0728270858526229
DeepLabV3+,ResNet18,True,0.8702793121337891,0.79034024477005,0.1243604943156242
DeepLabV3+,ResNet34,False,0.9220506548881532,0.8628432154655457,0.0763558745384216
DeepLabV3+,ResNet34,True,0.8979840278625488,0.829875111579895,0.1005835756659507
FPN,EfficientNet-B0,False,4.184595812223302e-12,4.184595812223302e-12,1.1379287242889404
FPN,EfficientNet-B0,True,0.8687582612037659,0.7819491028785706,0.1220955327153205
FPN,EfficientNet-B1,False,4.184595812223302e-12,4.184595812223302e-12,0.9440367817878724
FPN,EfficientNet-B1,True,0.85878986120224,0.7657407522201538,0.1320281475782394
FPN,EfficientNet-B2,False,4.184595812223302e-12,4.184595812223302e-12,1.117318034172058
FPN,EfficientNet-B2,True,0.8883564472198486,0.8118904232978821,0.1036384776234626
FPN,EfficientNet-B3,False,4.184595812223302e-12,4.184595812223302e-12,1.2154951095581057
FPN,EfficientNet-B3,True,0.8876146078109741,0.8114352822303772,0.1060275509953498
FPN,EfficientNet-B4,False,4.184595812223302e-12,4.184595812223302e-12,1.17110276222229
FPN,EfficientNet-B4,True,0.879359781742096,0.798301100730896,0.112911432981491
FPN,MiT-B0,False,0.8531398177146912,0.7631586790084839,0.1400948613882064
FPN,MiT-B0,True,0.893998384475708,0.8164793848991394,0.0940203443169593
FPN,MiT-B1,False,0.7607471346855164,0.6259111166000366,0.2172812670469284
FPN,MiT-B1,True,4.184595812223302e-12,4.184595812223302e-12,0.5038124322891235
FPN,MobileNetV2,False,0.8800452947616577,0.7978870272636414,0.1308955997228622
FPN,MobileNetV2,True,0.9107362031936646,0.8466730117797852,0.089497871696949
FPN,MobileOne-S0,False,0.8414053320884705,0.7345699667930603,0.1489747017621994
FPN,MobileOne-S0,True,0.9135304689407348,0.851091206073761,0.0845603570342063
FPN,MobileOne-S1,False,0.8500396609306335,0.7475556135177612,0.1512590795755386
FPN,MobileOne-S1,True,0.9188374280929564,0.8582770228385925,0.079826034605503
FPN,MobileOne-S2,False,0.8330501317977905,0.722557008266449,0.1739964783191681
FPN,MobileOne-S2,True,0.929166615009308,0.8747135400772095,0.0738656595349311
FPN,MobileOne-S3,False,0.8374769687652588,0.7308229804039001,0.1649342030286789
FPN,MobileOne-S3,True,0.9231361746788024,0.8637590408325195,0.0759357586503028
FPN,mobileone_s4,False,0.8641952276229858,0.7701634168624878,0.1355629414319992
FPN,mobileone_s4,True,0.9261558055877686,0.8679286241531372,0.0744823366403579
FPN,ResNet18,False,0.9370958805084229,0.8875779509544373,0.0645902380347251
FPN,ResNet18,True,0.9101183414459229,0.8466833829879761,0.0933925211429596
FPN,ResNet34,False,0.9350346326828004,0.8846992254257202,0.0717177912592887
FPN,ResNet34,True,0.9111027717590332,0.847691535949707,0.0898284614086151
FPN,VGG11,False,0.9118096232414246,0.8469015955924988,0.0850284695625305
FPN,VGG11,True,0.931981921195984,0.8805311322212219,0.0698499009013176
FPN,VGG13,False,0.9085713624954224,0.8398783802986145,0.0880724191665649
FPN,VGG13,True,0.9305290579795836,0.877202033996582,0.0691277086734771
FPN,VGG16,False,0.9383955001831056,0.8890870213508606,0.0626890212297439
FPN,VGG16,True,0.924968421459198,0.8692477345466614,0.076807864010334
FPN,VGG19,False,0.9260215759277344,0.8670216202735901,0.0673372894525528
