arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
deeplabv3+,mit_b0,zscore,other-dataset,252,1243,4132913,6.85140700340271,0.05477724135317634,0.9453545123074962,0.9035391703979295,0.02134628641226935,0.05192038678801645,0.9463399663052057,0.9025395516896574,0.026654460866536413
deeplabv3+,mit_b0,zscore,same-dataset,252,1243,4132913,6.7656415796279905,0.24750705170036802,0.7203979085552433,0.5741631054437074,0.15094435214996338,0.23445760326239723,0.7267799070547016,0.5811591838888842,0.15910438318101186
deeplabv3+,mit_b1,zscore,scratch,252,1243,14297937,6.303149771690369,0.11363929345880126,0.8811358807073518,0.8044235251742031,0.042154570184056724,0.10135902213839303,0.8917150359334048,0.8181190360292541,0.04807312266221122
deeplabv3+,mit_b1,zscore,other-dataset,252,1243,14297937,6.426327357292175,0.13476538552647144,0.8530240799281641,0.7665261547122382,0.03385848291809597,0.09992660686361722,0.8951172065274522,0.8237834590534385,0.03684299309102316
deeplabv3+,mit_b1,zscore,same-dataset,252,1243,14297937,6.6896265554428105,0.3438107689972952,0.5988349350152817,0.45774491343494395,0.09568735862535144,0.1813966893588739,0.794599282962127,0.6756991822203607,0.12714935330644486
deeplabv3+,mobilenet_v2,zscore,scratch,252,1243,4377937,4.614944620132446,0.09759049595888833,0.9038058715967622,0.836711789174897,0.027726527717378404,0.09557903496277304,0.8966652662257274,0.8229973287421278,0.03904210693306393
deeplabv3+,mobilenet_v2,zscore,other-dataset,252,1243,4377937,4.567367660999298,0.08126585155557646,0.9193021907791051,0.863448658971564,0.02218160606802456,0.06505322265749676,0.9308522961740041,0.8775083667696817,0.035214472089021925
deeplabv3+,mobilenet_v2,zscore,same-dataset,252,1243,4377937,4.600117120742798,0.08315629208174236,0.9214301588836449,0.8647614342496938,0.0198208572609084,0.06377416322261023,0.9373188141556584,0.887742945578246,0.02115627857191222
deeplabv3+,mobileone_s0,zscore,scratch,252,1243,6088513,15.144089937210083,0.2429613970453856,0.7343721823258833,0.6131680045315842,0.03652062544983531,0.19538322688108092,0.7823261627725124,0.6610529459203719,0.041770271779525844
deeplabv3+,mobileone_s0,zscore,other-dataset,252,1243,6088513,15.176432037353516,0.06596254496831426,0.9330766621080984,0.8809009062505402,0.02020683778183801,0.06428693368587395,0.9335586489541629,0.8817466826373689,0.022948021956142924
deeplabv3+,mobileone_s0,zscore,same-dataset,252,1243,6088513,15.338423347473144,0.08125450167196563,0.9211649008556805,0.860756079995239,0.02100139758771374,0.08125450167196563,0.9211649008556805,0.860756079995239,0.02100139758771374
deeplabv3+,mobileone_s1,zscore,scratch,252,1243,5701009,7.159809603691101,0.2111361852741395,0.7744564584254835,0.6523601876471374,0.030280681445248543,0.1726455604799889,0.8126872892065194,0.702467438489894,0.03967259020086319
deeplabv3+,mobileone_s1,zscore,other-dataset,252,1243,5701009,7.331958727836609,0.08402140981615884,0.9230617391228771,0.8648420665308245,0.017715712033566974,0.08378646749934168,0.919844750138127,0.8610663893523949,0.020317330660801085
deeplabv3+,mobileone_s1,zscore,same-dataset,252,1243,5701009,8.494970507621765,0.10866435270154083,0.8963723140480244,0.8270795097872795,0.020731908224877856,0.10127070830267279,0.9015770948230502,0.8328183781016957,0.023598439784513578
deeplabv3+,mobileone_s2,zscore,scratch,252,1243,8996241,8.807836470603943,0.1935223343865294,0.8039672196342977,0.6949218219072706,0.029835576014149757,0.17003999471856238,0.8275834672027121,0.7216749298697216,0.028677849069474234
deeplabv3+,mobileone_s2,zscore,other-dataset,252,1243,8996241,7.356443195343018,0.0857274565884689,0.918434238970903,0.8591370325556515,0.015322322883303202,0.0775981545388363,0.9229313849635596,0.8661006262296644,0.019495353960092106
deeplabv3+,mobileone_s2,zscore,same-dataset,252,1243,8996241,7.283754897117615,0.09202903415033727,0.9146824090210354,0.8542492805904471,0.016367744240495894,0.08316952026091749,0.9184219018164318,0.8596702381572893,0.019093824520943655
deeplabv3+,mobileone_s3,zscore,scratch,252,1243,11283729,8.17133120059967,0.2036039433648101,0.7903289982894689,0.674042864183409,0.027708777152593175,0.18807668456461576,0.7873976332280105,0.6723667863675499,0.04543239830268754
deeplabv3+,mobileone_s3,zscore,other-dataset,252,1243,11283729,7.713581757545471,0.07842617739090878,0.9234868331197185,0.8665052637973334,0.016285987866539803,0.0710605692271254,0.9285379610805864,0.8751315353191005,0.021175010366335748
deeplabv3+,mobileone_s3,zscore,same-dataset,252,1243,11283729,7.168596167564392,0.07750039408020885,0.9279718936113034,0.8755194479097596,0.016405526578189836,0.07141289248019576,0.9295678219292688,0.8762411852565775,0.02213054552437767
deeplabv3+,mobileone_s4,zscore,scratch,252,1243,16067449,10.40829475402832,0.20656845923018666,0.789438792801824,0.6754724543994219,0.02707008399542362,0.17304774753191926,0.8094012547383266,0.698187794305582,0.038075945502708826
deeplabv3+,mobileone_s4,zscore,other-dataset,252,1243,16067449,10.230086736679077,0.07132282106270257,0.9301234895149163,0.8778946666303222,0.015591352320616208,0.06525264830236366,0.9353726963218143,0.8844562877308239,0.016828956378121224
deeplabv3+,mobileone_s4,zscore,same-dataset,252,1243,16067449,10.428383655548096,0.0903158019553819,0.9157688113248645,0.8567927894530907,0.015377716530883124,0.08358010412916865,0.9200409362130076,0.8605589601941772,0.018328379425737593
